ID;report_ID;category;subCategory;lineItem;amount;sortOrder
f0000001-0001-4000-8000-000000000001;e0000001-0001-4000-8000-000000000001;ASSETS;NON_CURRENT_ASSETS;Bueroausstattung;4583.33;10
f0000001-0001-4000-8000-000000000002;e0000001-0001-4000-8000-000000000001;ASSETS;NON_CURRENT_ASSETS;Software Lizenzen;12000.00;20
f0000001-0001-4000-8000-000000000003;e0000001-0001-4000-8000-000000000001;ASSETS;CURRENT_ASSETS;Forderungen LuL;25000.00;30
f0000001-0001-4000-8000-000000000004;e0000001-0001-4000-8000-000000000001;ASSETS;CURRENT_ASSETS;Crypto Assets (ADA);54450.00;40
f0000001-0001-4000-8000-000000000005;e0000001-0001-4000-8000-000000000001;ASSETS;CURRENT_ASSETS;Bank;87525.00;50
f0000001-0001-4000-8000-000000000006;e0000001-0001-4000-8000-000000000001;LIABILITIES;CURRENT_LIABILITIES;Verbindlichkeiten LuL;0.00;60
f0000001-0001-4000-8000-000000000007;e0000001-0001-4000-8000-000000000001;LIABILITIES;CURRENT_LIABILITIES;Rueckstellungen;5000.00;70
f0000001-0001-4000-8000-000000000008;e0000001-0001-4000-8000-000000000001;CAPITAL;EQUITY;Stammkapital;25000.00;80
f0000001-0001-4000-8000-000000000009;e0000001-0001-4000-8000-000000000001;CAPITAL;EQUITY;Gewinnvortrag;120000.00;90
f0000001-0001-4000-8000-000000000010;e0000001-0001-4000-8000-000000000001;CAPITAL;EQUITY;Jahresueberschuss Q1;33558.33;100
f0000001-0001-4000-8000-000000000011;e0000001-0001-4000-8000-000000000002;REVENUE;OPERATING_REVENUE;Umsatzerloese Beratung;25000.00;10
f0000001-0001-4000-8000-000000000012;e0000001-0001-4000-8000-000000000002;REVENUE;FINANCIAL_REVENUE;Staking Rewards;1250.00;20
f0000001-0001-4000-8000-000000000013;e0000001-0001-4000-8000-000000000002;REVENUE;FINANCIAL_REVENUE;Unrealisierte Kursgewinne Crypto;3200.00;30
f0000001-0001-4000-8000-000000000014;e0000001-0001-4000-8000-000000000002;EXPENSES;OPERATING_EXPENSES;Mietaufwand;-3500.00;40
f0000001-0001-4000-8000-000000000015;e0000001-0001-4000-8000-000000000002;EXPENSES;OPERATING_EXPENSES;Gehaelter;-12500.00;50
f0000001-0001-4000-8000-000000000016;e0000001-0001-4000-8000-000000000002;EXPENSES;OPERATING_EXPENSES;Sozialabgaben;-2625.00;60
f0000001-0001-4000-8000-000000000017;e0000001-0001-4000-8000-000000000002;EXPENSES;OPERATING_EXPENSES;IT-Aufwand;-8400.00;70
f0000001-0001-4000-8000-000000000018;e0000001-0001-4000-8000-000000000002;EXPENSES;DEPRECIATION;Abschreibungen;-416.67;80
f0000001-0001-4000-8000-000000000019;e0000001-0001-4000-8000-000000000002;PROFIT;;Jahresueberschuss Q1;2008.33;90
